zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
east,,master,7799.463082427189,,1000.0,0.0,personal auto,four-door car,2.704934
central,female,bachelor,6979.5359,,94.0,0.0,personal auto,four-door car,1131.464935
central,female,bachelor,12887.4317,48767.0,108.0,0.0,personal auto,two-door car,566.472247
west region,male,bachelor,7645.861800000001,,106.0,0.0,corporate auto,suv,529.881344
east,male,high school or below,5363.0765,36357.0,68.0,0.0,personal auto,four-door car,17.269323
north west,female,bachelor,8256.2978,62902.0,69.0,0.0,personal auto,two-door car,159.383042
north west,female,bachelor,5380.8986,55350.0,67.0,0.0,corporate auto,four-door car,321.6
central,male,master,7216.1003,,101.0,0.0,corporate auto,four-door car,363.02968
north west,male,bachelor,24127.504,14072.0,71.0,0.0,corporate auto,four-door car,511.2
north west,female,bachelor,7388.178100000001,28812.0,93.0,0.0,special auto,four-door car,425.527834
west region,male,bachelor,4738.992,,67.0,0.0,personal auto,four-door car,482.4
west region,,bachelor,8197.1971,,110.0,0.0,personal auto,suv,528.0
west region,,master,8798.796999999999,77026.0,110.0,2.0,corporate auto,four-door car,472.029737
central,,high school or below,8819.018900000001,99845.0,110.0,1.0,corporate auto,suv,528.0
west region,,bachelor,5384.4317,83689.0,70.0,2.0,corporate auto,four-door car,307.139132
north west,,bachelor,7463.139399999999,24599.0,64.0,1.0,corporate auto,four-door car,42.920271
central,,high school or below,2566.8678,25049.0,67.0,0.0,personal auto,two-door car,454.245098
west region,,bachelor,3945.2416,28855.0,101.0,0.0,personal auto,suv,647.442031
north west,,bachelor,5710.333100000001,51148.0,72.0,0.0,personal auto,four-door car,308.981664
west region,,high school or below,8162.617099999999,66140.0,101.0,0.0,corporate auto,four-door car,484.8
north west,,high school or below,2872.0513,57749.0,74.0,0.0,personal auto,two-door car,355.2
east,male,bachelor,6177.1093,61040.0,79.0,1.0,personal auto,two-door car,20.382876
central,,bachelor,24127.504,14072.0,71.0,0.0,personal auto,four-door car,511.2
central,,bachelor,2450.1910000000003,,73.0,3.0,corporate auto,four-door car,554.376763
west region,,bachelor,2392.1079,17870.0,61.0,0.0,corporate auto,four-door car,439.2
north west,,bachelor,5802.066,97541.0,72.0,0.0,personal auto,four-door car,389.185006
west region,,bachelor,3946.3721,,111.0,0.0,personal auto,four-door car,799.2
east,male,bachelor,9162.0632,29723.0,80.0,0.0,personal auto,four-door car,20.985105
central,,bachelor,12902.5601,86584.0,111.0,2.0,personal auto,four-door car,532.8
north west,,master,3235.3605,75690.0,80.0,1.0,personal auto,four-door car,384.0
central,,bachelor,2454.5835,23158.0,63.0,1.0,personal auto,four-door car,322.294043
central,,high school or below,18975.4561,65999.0,237.0,0.0,corporate auto,luxury suv,615.927769
west region,,bachelor,4715.3213,,65.0,0.0,personal auto,four-door car,308.15089
east,female,bachelor,4737.8717,,130.0,0.0,personal auto,suv,23.820158
north west,,bachelor,4932.9163,37260.0,62.0,0.0,corporate auto,four-door car,15.437681
central,,high school or below,5744.2297,68987.0,71.0,0.0,personal auto,four-door car,204.475147
west region,,bachelor,13891.7357,42305.0,117.0,0.0,personal auto,four-door car,561.6
north west,,master,7380.9767,65706.0,91.0,0.0,personal auto,four-door car,436.8
north west,,bachelor,3090.0341,,90.0,0.0,personal auto,two-door car,648.0
central,,high school or below,2521.6331,53243.0,66.0,2.0,personal auto,four-door car,157.397849
central,,high school or below,2652.0618,,70.0,1.0,corporate auto,two-door car,484.318536
north west,,bachelor,2771.045,50071.0,71.0,0.0,corporate auto,two-door car,18.918935
west region,,bachelor,3939.0064,60021.0,99.0,0.0,personal auto,four-door car,882.871945
central,,high school or below,12231.8797,43244.0,103.0,0.0,personal auto,sports car,494.4
east,male,doctor,4951.6561,46896.0,35354.0,1.0,personal auto,four-door car,31.707317
north west,,doctor,12819.1029,10105.0,172.0,3.0,personal auto,suv,0.517753
central,,bachelor,4468.5105,,73.0,3.0,personal auto,four-door car,579.165954
north west,,high school or below,5514.344,23218.0,71.0,0.0,personal auto,two-door car,447.79344
west region,,bachelor,3343.8753,,92.0,0.0,corporate auto,four-door car,529.624084
central,,high school or below,2294.4789,,62.0,0.0,personal auto,four-door car,313.023175
north west,,bachelor,36707.4264,24804.0,104.0,0.0,personal auto,suv,593.830288
west region,,bachelor,33473.349500000004,33190.0,106.0,0.0,corporate auto,suv,508.8
central,,high school or below,7983.4317,36014.0,69.0,3.0,special auto,four-door car,173.956072
east,female,master,4879.3848,67163.0,61.0,2.0,personal auto,two-door car,33.192803
west region,,bachelor,4293.9973,16701.0,113.0,0.0,personal auto,four-door car,831.625979
central,,bachelor,7164.3955000000005,46623.0,91.0,0.0,corporate auto,four-door car,436.8
west region,,bachelor,7619.515799999999,64749.0,64.0,0.0,special auto,four-door car,302.56519
central,,high school or below,3958.0028,,101.0,0.0,personal auto,suv,484.8
north west,,high school or below,4499.4933,16969.0,124.0,2.0,personal auto,suv,704.768111
north west,,master,4059.5674,11621.0,108.0,0.0,personal auto,four-door car,518.4
central,,bachelor,4458.1134,17622.0,65.0,1.0,personal auto,four-door car,312.0
west region,,bachelor,8110.333100000001,11489.0,105.0,0.0,personal auto,two-door car,504.0
north west,,bachelor,3339.7649,,94.0,0.0,personal auto,two-door car,863.327324
west region,,high school or below,24261.0178,66525.0,100.0,0.0,personal auto,suv,104.331355
central,,bachelor,6613.9737,,63.0,0.0,personal auto,four-door car,676.391482
east,,bachelor,2930.6935,33663.0,73.0,0.0,personal auto,four-door car,350.4
north west,,bachelor,8672.194300000001,22547.0,112.0,0.0,corporate auto,suv,537.6
central,,high school or below,11638.6693,61486.0,97.0,0.0,personal auto,two-door car,465.258644
north west,,bachelor,6846.1503,,95.0,0.0,personal auto,two-door car,456.0
west region,,bachelor,11727.7765,29879.0,102.0,0.0,personal auto,four-door car,500.254235
north west,,high school or below,22643.8348,93011.0,113.0,0.0,personal auto,suv,281.451042
north west,,master,2614.4743,65186.0,65.0,0.0,personal auto,two-door car,5.434505
north west,,master,2451.7527,26840.0,64.0,2.0,personal auto,four-door car,307.2
north west,,bachelor,6781.2702,,104.0,1.0,personal auto,sports car,982.399613
north west,,bachelor,4974.8015000000005,75644.0,65.0,3.0,personal auto,two-door car,467.803638
north west,,bachelor,8591.6049,38984.0,73.0,0.0,personal auto,four-door car,350.4
north west,,high school or below,5592.1614,71811.0,71.0,0.0,personal auto,four-door car,29.03416
central,,bachelor,8009.4728,20961.0,67.0,0.0,personal auto,four-door car,321.6
east,female,master,7799.463082427189,41275.0,96.0,0.0,personal auto,four-door car,41.122303
west region,,bachelor,58166.5535,61321.0,186.0,1.0,personal auto,luxury car,427.63121
west region,,bachelor,8025.229399999999,,77.0,0.0,personal auto,two-door car,25.807685
west region,,high school or below,5780.182199999999,51066.0,74.0,0.0,personal auto,four-door car,787.993313
west region,,doctor,4118.5391,34378.0,102.0,0.0,personal auto,suv,489.6
central,,master,2523.0702,43072.0,63.0,0.0,personal auto,four-door car,302.4
north west,,bachelor,6554.2164,25222.0,90.0,0.0,personal auto,four-door car,475.623251
east,female,bachelor,5382.752,77552.0,68.0,1.0,corporate auto,four-door car,45.215059
west region,,bachelor,5926.729399999999,23091.0,96.0,5.0,personal auto,four-door car,460.8
west region,,bachelor,2683.4707,48269.0,69.0,3.0,corporate auto,four-door car,282.151207
north west,,bachelor,2695.1824,32720.0,67.0,0.0,personal auto,four-door car,321.6
west region,,bachelor,6047.0252,20396.0,76.0,1.0,personal auto,four-door car,364.8
north west,,bachelor,13171.0128,21513.0,119.0,1.0,personal auto,two-door car,679.827592
east,female,bachelor,15950.0195,,87.0,1.0,personal auto,two-door car,46.041452
north west,,bachelor,2527.6538,80744.0,63.0,0.0,corporate auto,four-door car,11.879037
north west,,bachelor,2672.0958,52822.0,67.0,0.0,corporate auto,two-door car,350.529033
west region,,high school or below,5313.294,,77.0,1.0,personal auto,four-door car,863.3947
north west,,bachelor,20946.1925,69738.0,74.0,1.0,personal auto,four-door car,492.127532
central,,master,8375.3539,17780.0,109.0,0.0,personal auto,suv,132.588288
west region,,bachelor,4801.6615,18107.0,62.0,0.0,personal auto,four-door car,297.6
central,,bachelor,5745.9433,57740.0,74.0,3.0,personal auto,four-door car,269.905129
north west,,bachelor,6066.116,32627.0,76.0,0.0,personal auto,two-door car,380.036697
west region,,bachelor,8002.3083,,107.0,0.0,personal auto,suv,513.6
west region,,bachelor,2393.9154,,70.0,0.0,personal auto,four-door car,425.266308
north west,,bachelor,4762.8179,65795.0,62.0,1.0,corporate auto,two-door car,49.011099
west region,,bachelor,4330.386,60475.0,107.0,0.0,personal auto,four-door car,513.6
west region,,high school or below,9402.7298,,130.0,0.0,personal auto,suv,936.0
north west,,bachelor,6966.6945,41837.0,88.0,0.0,personal auto,four-door car,142.062768
west region,,bachelor,7694.064300000001,32303.0,65.0,0.0,personal auto,four-door car,45.152521
north west,,high school or below,8717.561099999999,,117.0,1.0,personal auto,suv,561.6
west region,,bachelor,5928.7485,40531.0,74.0,0.0,personal auto,two-door car,30.567357
north west,,bachelor,2452.9773,79898.0,62.0,1.0,corporate auto,four-door car,271.606799
west region,,bachelor,6701.5717,56398.0,85.0,0.0,personal auto,four-door car,408.0
east,male,high school or below,4996.5527,71600.0,63.0,0.0,personal auto,two-door car,46.158117
central,,bachelor,8492.6988,27804.0,109.0,0.0,personal auto,suv,784.8
north west,,bachelor,7713.494000000001,45506.0,66.0,2.0,personal auto,four-door car,316.8
east,female,master,5185.7976,99428.0,6464.0,1.0,personal auto,four-door car,48.046869
west region,,high school or below,7290.0698,,102.0,1.0,corporate auto,suv,489.6
north west,,high school or below,4772.9438,20993.0,133.0,0.0,personal auto,suv,638.4
central,,high school or below,6806.4914,37839.0,86.0,0.0,personal auto,two-door car,465.633954
west region,,bachelor,2469.7813,92711.0,62.0,0.0,personal auto,two-door car,368.400146
west region,,bachelor,3103.923,74665.0,78.0,2.0,corporate auto,four-door car,236.902001
east,female,bachelor,10484.9154,61108.0,89.0,0.0,personal auto,four-door car,49.451117
west region,,bachelor,8902.7376,46833.0,112.0,0.0,personal auto,sports car,64.109663
north west,,high school or below,5499.4472,88768.0,68.0,0.0,personal auto,two-door car,326.4
west region,,high school or below,15023.5986,28262.0,192.0,0.0,personal auto,luxury suv,921.6
central,,bachelor,2509.1079,33555.0,63.0,0.0,personal auto,four-door car,101.89645
north west,,bachelor,31221.7481,42780.0,113.0,1.0,personal auto,four-door car,542.4
north west,,master,3133.5034,58850.0,78.0,0.0,personal auto,four-door car,143.747794
central,,bachelor,3837.4519,21880.0,97.0,0.0,special auto,four-door car,424.077159
north west,,bachelor,11790.4962,25251.0,66.0,0.0,personal auto,four-door car,316.8
east,female,high school or below,2829.8639000000003,25317.0,71.0,0.0,personal auto,two-door car,50.422181
central,,high school or below,4305.808300000001,24188.0,109.0,0.0,personal auto,sports car,523.2
central,,bachelor,5973.9769,41611.0,74.0,0.0,special auto,four-door car,113.801497
north west,,bachelor,5670.4424,28406.0,72.0,1.0,personal auto,four-door car,192.87572
central,,bachelor,4731.7493,69833.0,118.0,0.0,personal auto,four-door car,828.662719
central,,high school or below,8026.379599999999,,74.0,0.0,corporate auto,four-door car,532.8
central,,high school or below,4022.9635,,117.0,0.0,personal auto,suv,975.107098
north west,,high school or below,9618.3109,80536.0,119.0,0.0,special auto,sports car,53.798708
east,female,bachelor,7255.9538,88891.0,89.0,0.0,personal auto,four-door car,50.528355
north west,,bachelor,9552.9269,97732.0,79.0,0.0,personal auto,four-door car,289.9122
central,female,bachelor,10388.5532,61222.0,89.0,0.0,special auto,four-door car,392.604371
north west,male,bachelor,2470.1212,,74.0,0.0,personal auto,two-door car,721.242206
central,male,master,5619.068499999999,50335.0,140.0,0.0,personal auto,suv,456.52385
west region,female,high school or below,9047.1192,,127.0,0.0,personal auto,sports car,1087.995426
east,female,doctor,2687.3141,82210.0,68.0,4.0,personal auto,four-door car,51.961915
north west,female,high school or below,3731.5046,,96.0,0.0,personal auto,four-door car,460.8
central,male,bachelor,3660.7703,64495.0,92.0,0.0,corporate auto,four-door car,251.992083
west region,female,bachelor,7928.8293,,72.0,0.0,corporate auto,four-door car,345.6
central,female,bachelor,5011.7516,28859.0,67.0,3.0,corporate auto,two-door car,321.6
central,female,high school or below,7988.258299999999,77330.0,99.0,0.0,personal auto,four-door car,99.257608
north west,male,bachelor,3885.4564,,105.0,0.0,corporate auto,four-door car,504.0
east,female,high school or below,9357.7378,33060.0,117.0,0.0,personal auto,four-door car,56.731578
east,male,master,2540.6898,42557.0,65.0,0.0,personal auto,four-door car,57.562324
central,male,high school or below,4885.1625,26372.0,126.0,0.0,personal auto,suv,604.8
central,female,bachelor,9753.3071,17514.0,127.0,0.0,personal auto,suv,8.312729
west region,female,bachelor,2946.1537,89270.0,74.0,0.0,personal auto,four-door car,316.599228
west region,male,high school or below,2581.1109,29757.0,65.0,0.0,personal auto,four-door car,312.0
north west,male,bachelor,3517.3858,51814.0,92.0,0.0,personal auto,four-door car,56.300724
north west,female,bachelor,9743.3501,24028.0,82.0,0.0,personal auto,four-door car,393.6
central,male,bachelor,3873.647,28142.0,105.0,0.0,personal auto,sports car,701.708239
central,female,bachelor,7649.281999999999,52705.0,64.0,1.0,personal auto,two-door car,128.705563
west region,male,high school or below,2287.5969,,63.0,0.0,corporate auto,two-door car,679.368378
east,female,high school or below,8255.7639,54040.0,103.0,0.0,personal auto,suv,59.987126
west region,female,bachelor,8714.9221,,118.0,0.0,personal auto,suv,566.4
east,female,doctor,6819.2312,22492.0,85.0,0.0,personal auto,two-door car,61.654262
west region,male,bachelor,7416.1973,,77.0,2.0,personal auto,four-door car,554.4
north west,male,master,7771.159000000001,21876.0,68.0,0.0,personal auto,four-door car,465.41477
west region,female,bachelor,6968.341899999999,,69.0,1.0,personal auto,four-door car,496.8
west region,female,high school or below,4250.2826000000005,,61.0,1.0,personal auto,four-door car,292.8
north west,female,high school or below,19776.5665,70699.0,82.0,0.0,personal auto,four-door car,256.813837
west region,female,high school or below,21343.466,,74.0,1.0,personal auto,four-door car,355.2
west region,male,bachelor,2413.1397,27501.0,63.0,0.0,personal auto,four-door car,542.319401
north west,female,doctor,15363.8472,15897.0,101.0,0.0,personal auto,four-door car,303.148399
central,female,bachelor,8456.9619,25141.0,73.0,1.0,personal auto,four-door car,25.438063
central,female,bachelor,2189.6425,,61.0,3.0,personal auto,four-door car,292.8
west region,male,high school or below,5780.182199999999,51066.0,74.0,0.0,personal auto,four-door car,787.993313
west region,female,bachelor,4639.9816,28358.0,117.0,0.0,personal auto,sports car,84.024413
east,female,doctor,3824.4313,62530.0,95.0,0.0,personal auto,four-door car,61.693771
