state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
Washington,,Master,,0.0,1000.0,0,Personal Auto,Four-Door Car,2.704934
Arizona,Female,Bachelor,6979.5359,0.0,94.0,0,Personal Auto,Four-Door Car,1131.464935
Nevada,Female,Bachelor,12887.4317,48767.0,108.0,0,Personal Auto,Two-Door Car,566.472247
California,Male,Bachelor,7645.861800000001,0.0,106.0,0,Corporate Auto,SUV,529.881344
Washington,Male,High School or Below,5363.0765,36357.0,68.0,0,Personal Auto,Four-Door Car,17.269323
Oregon,Female,Bachelor,8256.2978,62902.0,69.0,0,Personal Auto,Two-Door Car,159.383042
Oregon,Female,College,5380.8985999999995,55350.0,67.0,0,Corporate Auto,Four-Door Car,321.6
Arizona,Male,Master,7216.1003,0.0,101.0,0,Corporate Auto,Four-Door Car,363.02968
Oregon,Male,Bachelor,24127.504,14072.0,71.0,0,Corporate Auto,Four-Door Car,511.2
Oregon,Female,College,7388.178100000001,28812.0,93.0,0,Special Auto,Four-Door Car,425.527834
California,Male,College,4738.992,0.0,67.0,0,Personal Auto,Four-Door Car,482.4
California,,College,8197.1971,0.0,110.0,0,Personal Auto,SUV,528.0
California,,Master,8798.796999999999,77026.0,110.0,2,Corporate Auto,Four-Door Car,472.029737
Arizona,,High School or Below,8819.018900000001,99845.0,110.0,1,Corporate Auto,SUV,528.0
California,,College,5384.4317,83689.0,70.0,2,Corporate Auto,Four-Door Car,307.139132
Oregon,,Bachelor,7463.139399999999,24599.0,64.0,1,Corporate Auto,Four-Door Car,42.920271
Nevada,,High School or Below,2566.8678,25049.0,67.0,0,Personal Auto,Two-Door Car,454.245098
California,,College,3945.2416,28855.0,101.0,0,Personal Auto,SUV,647.442031
Oregon,,College,5710.333100000001,51148.0,72.0,0,Personal Auto,Four-Door Car,308.981664
California,,High School or Below,8162.6170999999995,66140.0,101.0,0,Corporate Auto,Four-Door Car,484.8
Oregon,,High School or Below,2872.0513,57749.0,74.0,0,Personal Auto,Two-Door Car,355.2
Washington,Male,Bachelor,6177.1093,61040.0,79.0,1,Personal Auto,Two-Door Car,20.382876
Arizona,,Bachelor,24127.504,14072.0,71.0,0,Personal Auto,Four-Door Car,511.2
Nevada,,Bachelor,2450.1910000000003,0.0,73.0,3,Corporate Auto,Four-Door Car,554.376763
California,,Bachelor,2392.1079,17870.0,61.0,0,Corporate Auto,Four-Door Car,439.2
Oregon,,College,5802.066,97541.0,72.0,0,Personal Auto,Four-Door Car,389.185006
California,,Bachelor,3946.3721,0.0,111.0,0,Personal Auto,Four-Door Car,799.2
Washington,Male,College,9162.063199999999,29723.0,80.0,0,Personal Auto,Four-Door Car,20.985105
Arizona,,College,12902.5601,86584.0,111.0,2,Personal Auto,Four-Door Car,532.8
Oregon,,Master,3235.3605,75690.0,80.0,1,Personal Auto,Four-Door Car,384.0
Arizona,,College,2454.5835,23158.0,63.0,1,Personal Auto,Four-Door Car,322.294043
Nevada,,High School or Below,18975.4561,65999.0,237.0,0,Corporate Auto,Luxury SUV,615.927769
